Body,labels
Bugis oso near wat...,Personal
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Personal
I dunno until when... Lets go learn pilates...,Personal
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",Personal
Meet after lunch la...,Personal
m walking in citylink now  faster come down... Me very hungry...,Personal
5 nights...We nt staying at port step liao...Too ex,Personal
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,Personal
"Yun ah.the ubi one say if  wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.?n",Personal
Hey tmr maybe can meet you at yck,Personal
Oh...i asked for fun. Haha...take care. ,Personal
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,Personal
t finish my film yet...,Personal
m having dinner with my cousin...,Personal
Oh... Kay... On sat right?,Personal
I need... Coz i never go before,Personal
s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Personal
I am going to sao mu today. Will be done only at 12,Personal
Hey gals...U all wanna meet 4 dinner at nte?,Personal
Jos ask if u wana meet up?,Personal
Haiyoh... Maybe your hamster was jealous of million,Personal
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,Personal
ve booked the pilates and yoga lesson already... Haha,Personal
Yup... I havent been there before... You want to go for the yoga? I can call up to book,Personal
K... Must book a not huh? so going for yoga basic on sunday?,Personal
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,Personal
Sat right? Okay thanks...,Personal
Yup... From what i remb... I think should be can book...,Personal
m going to get specs. My membership is PX3748,Personal
We can go 4 e normal pilates after our intro...,Personal
Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...,Personal
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",Personal
"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",Personal
Wah... Okie okie... Muz make use of e unlimited... Haha...,Personal
ll go yan jiu den msg u...,Personal
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",Personal
"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",Personal
Nope... Juz off from work...,Personal
Oh oh... Wasted... Den muz chiong on sat n sun liao...,Personal
"Haha... Sounds crazy, dunno can tahan anot...",Personal
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",Personal
"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",Personal
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Personal
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",Personal
"s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Personal
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Personal
s nt much lesson to go if we attend kb on sat...,Personal
Den wat will e schedule b lk on sun?,Personal
Eh den sat u book e kb liao huh...,Personal
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,Personal
Yup... Ok i go home look at the timings then i msg  again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Personal
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,Personal
Hey... are you going to quit soon? Xuhui and i working till end of the month,Personal
s a kb lesson tonight,Personal
Hey so whats the plan this sat?,Personal
ve woken up...,Personal
Hey i will be late ah... Meet you at 945+,Personal
Hey tmr meet at bugis 930 ?,Personal
Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel,Personal
Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,Personal
ve booked the 2 lessons on sun liao...,Personal
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",Personal
Oh... Okie lor...We go on sat...,Personal
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",Personal
